子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
闸阀,200,665.16,314.39,1004.67,1.51,31.0,7309.0,48.4,1626.0,2.265
其他阀门,140,896.98,118.0,1865.57,2.08,19.18,10771.0,31.58,3702.5,3.12
过滤器,136,893.37,273.0,2012.58,2.253,18.22,19839.0,46.0,2340.12,3.38
蝶阀,123,2267.15,774.0,4746.32,2.094,74.0,42956.0,132.8,5885.69,3.141
止回阀,88,1351.23,624.0,1900.17,1.406,16.51,11037.0,100.0,3418.34,2.109
球阀,66,6560.5,123.0,19873.24,3.029,24.0,110063.51,27.15,22705.13,4.544
其他,45,732.41,249.21,970.34,1.325,31.63,4362.0,61.15,2169.19,1.987
减压阀,40,1433.86,690.0,1862.02,1.299,83.0,9064.0,132.0,3753.9,1.948
倒流防止器,37,622.05,338.36,613.41,0.986,72.85,2256.38,124.6,1669.79,1.479
排气阀,30,44.87,35.0,26.06,0.581,19.21,131.0,24.93,60.71,0.871
电动阀,7,13388.0,6573.0,19363.49,1.446,131.0,54583.0,547.4,32312.2,2.169
水位控制阀,1,1631.72,1631.72,0.0,0.0,1631.72,1631.72,1631.72,1631.72,0.05
