XXX项目不锈钢水箱投标清单,,,,,,,,,,,,
序号,项目名称,规格型号,单位,数量,"单价（元）
不含税","金额（元）
不含税",税率,税额（元）,价税合计（元）,位置及用途,品牌,材质
1,不锈钢水箱,XXX,台,1,,0,0.13,0,0,XXX,XXX,SUS316L
2,不锈钢水箱,XXX,台,1,,0,0.13,0,0,XXX,XXX,SUS304
3,,,,,,0,0.13,0,0,,,
4,,,,,,0,0.13,0,0,,,
5,,,,,,0,0.13,0,0,,,
6,,,,,,0,0.13,0,0,,,
7,,,,,,0,0.13,0,0,,,
8,,,,,,0,0.13,0,0,,,
含税合价（元）：,,,,,,,,,0,,,
"说明：
（1）水箱材质：食品级不锈钢,冲压组装，氩弧焊接成型。                                                                
（2）水箱含玻璃管液位计；检修孔、内外扶梯、含进出水口，溢流排污管；进出水管带单片    （法兰材质）法兰，水箱底座主槽钢10#镀锌槽钢。",,,,,,,,,,,,
