设备名称,型号规格,流量(m3/h),扬程(m),转速（r/min）,功率   (kW),材质,,,,,,,,,,,,,配套零件品牌,,,数量（台）,税率,单价（元）,总 价（元）,品牌,备   注
,,,,,,泵体,泵盖,叶轮,泵轴,机封,叶轮螺母,轴套,水泵底座,联轴器,泵体密封环,密封压盖,电机防护等级,电机能效,轴承,电机,机封,,,,,,
卧式端吸泵(变频),"Q=135m3/h H=320kpa,
N=18.5KW,工作压力1.0MPa",135,32,,18.5,,,,,,,,,,,,,,,,,4,0.13,13896.0055,55584.022,荏原,2025.3.4，无预付款，货到现场验收合格后一月付至送货金额的80%，结算并移交档案验收后付至结算金额的90%，审计后付至不超审计金额的97%，3%质保2年，无息支付
卧式端吸泵(变频),"Q=50m3/h H=215kpa,
N=7.5KW,工作压力1.0MPa",50,21,,7.5,,,,,,,,,,,,,,,,,4,0.13,8916.0051,35664.0204,荏原,2025.3.4，无预付款，货到现场验收合格后一月付至送货金额的80%，结算并移交档案验收后付至结算金额的90%，审计后付至不超审计金额的97%，3%质保2年，无息支付
卧式端吸泵(变频),"Q=135m3/h H=320kpa,
N=18.5KW,工作压力1.6MPa",135,32,,18.5,,,,,,,,,,,,,,,,,8,0.13,13896.0055,111168.044,荏原,2025.3.4，无预付款，货到现场验收合格后一月付至送货金额的80%，结算并移交档案验收后付至结算金额的90%，审计后付至不超审计金额的97%，3%质保2年，无息支付
卧式端吸泵(变频),"Q=55m3/h H=225kna.
N=7.5KW,工作压力1.6MPa",55,22,,7.5,,,,,,,,,,,,,,,,,8,0.13,9072.996,72583.968,荏原,2025.3.4，无预付款，货到现场验收合格后一月付至送货金额的80%，结算并移交档案验收后付至结算金额的90%，审计后付至不超审计金额的97%，3%质保2年，无息支付
